"UPA.ID","Hazard.Desc.Loc","Hazard.Desc.Loc.lt","Availability","NotWornE","NotWornNE","NotWornU","WornIncorrectlyE","WornIncorrectlyNE","WornIncorrectlyU","DisinfectionMaintenance","SizeFit","Expired","Counterfeit","PPEDiscouragedProhibited","Physiological","Training","RPP","EnforceUse","EnforceCorrectUse","FitTest","CrossContamination"
"C-1730148","T8CCR 3205(c) - Staff not wearing masks or social distancing. Employees with symptoms of COVID-19 working in office. Employer conducting interviews without masks.","t8ccr 3205(c) - staff not wearing masks or social distancing. employees with symptoms of covid-19 working in office. employer conducting interviews without masks.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C-1639162","1. The employer is not following CDC guidelines in regards to the use and enforcement of facemasks or face coverings for employees working inside the building. Applicable OSHA standard(s): Section 5(a)(1) General Duty Clause of the Occupational Safety and Health Act of 1970. 2. The employer is not following CDC guidelines for increased cleaning and sanitizing of the facility and high touch surfaces. Applicable OSHA standard(s): Section 5(a)(1) General Duty Clause of the Occupational Safety and Health Act of 1970. 3. The employer is not following CDC guidelines for social distancing in areas such as front desk and work out areas. Applicable OSHA standard(s): Section 5(a)(1) General Duty Clause of the Occupational Safety and Health Act of 1970.","1. the employer is not following cdc guidelines in regards to the use and enforcement of facemasks or face coverings for employees working inside the building. applicable osha standard(s): section 5(a)(1) general duty clause of the occupational safety and health act of 1970. 2. the employer is not following cdc guidelines for increased cleaning and sanitizing of the facility and high touch surfaces. applicable osha standard(s): section 5(a)(1) general duty clause of the occupational safety and health act of 1970. 3. the employer is not following cdc guidelines for social distancing in areas such as front desk and work out areas. applicable osha standard(s): section 5(a)(1) general duty clause of the occupational safety and health act of 1970.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"C-1634285","1. Employees are required to return to work during their quarantine period. 2. The employer is not taking precautions to ensure employees are not exposed to COVID-19, such as providing proper PPE for the job tasks employees must perform. 3. The employer is discouraging employees to test for COVID-19 when they have been in close contact with other employees who have tested positive for COVID-19. 4. The employer is not complying with the Governor¿s COVID-19 mandate in regard to social distancing between employees and the public. 5. The employer is requiring employees to reuse the extra swabs that come in test kits to essentially make their own separate test kits. Employees are concerned that the extra swabs would no longer be sterile when used on clients and puts the liability on the employees. Hazard Location: Throughout 7/30/2020 bm","1. employees are required to return to work during their quarantine period. 2. the employer is not taking precautions to ensure employees are not exposed to covid-19, such as providing proper ppe for the job tasks employees must perform. 3. the employer is discouraging employees to test for covid-19 when they have been in close contact with other employees who have tested positive for covid-19. 4. the employer is not complying with the governor¿s covid-19 mandate in regard to social distancing between employees and the public. 5. the employer is requiring employees to reuse the extra swabs that come in test kits to essentially make their own separate test kits. employees are concerned that the extra swabs would no longer be sterile when used on clients and puts the liability on the employees. hazard location: throughout 7/30/2020 bm",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C-1577749","1. The employer is not providing appropriate PPE such as masks and downs to prevent the spread of COVID-19 within the workplace.","1. the employer is not providing appropriate ppe such as masks and downs to prevent the spread of covid-19 within the workplace.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C-1675900","The employer is not implementing precautions to protect employees from contracting and spreading the Coronavirus (COVID-19) in the workplace: a.) Employees work in the kitchen without masks and without practicing social distancing b.) Employees that are known or suspected to be infected with COVID-19 are allowed to report to and/or remain at work.","the employer is not implementing precautions to protect employees from contracting and spreading the coronavirus (covid-19) in the workplace: a.) employees work in the kitchen without masks and without practicing social distancing b.) employees that are known or suspected to be infected with covid-19 are allowed to report to and/or remain at work.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C-1594239","No social distancing. Shortage of gloves. Hiring new employees every week without testing.","no social distancing. shortage of gloves. hiring new employees every week without testing.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C-1687909","Employees are potentially exposed to contracting COVID-19 virus due to employer not enforcing all employees to wear masks. Possible applicable standard(s): Section 5(a)(1).","employees are potentially exposed to contracting covid-19 virus due to employer not enforcing all employees to wear masks. possible applicable standard(s): section 5(a)(1).",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"C-1632727","Employer is failing to protect employees from health hazards related to potential COVID-19 exposure: 1. Failing to follow federal, state and local health guidance's for the prevention of COVID-19 spread 2. Failing to implement and enforce safe and healthy work practices in the interest of the prevention of COVID-19 spread a. Lack of social distancing b. Lack of face masks c. Lack of hand sanitizer and hand washing d. Lack of training on COVID-19 awareness","employer is failing to protect employees from health hazards related to potential covid-19 exposure: 1. failing to follow federal, state and local health guidance's for the prevention of covid-19 spread 2. failing to implement and enforce safe and healthy work practices in the interest of the prevention of covid-19 spread a. lack of social distancing b. lack of face masks c. lack of hand sanitizer and hand washing d. lack of training on covid-19 awareness",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C-1582894","T8 CCR §3203(a)(4)(B) ¿ Employer does not have proper PPEs such as N95 or level 3 masks.","t8 ccr §3203(a)(4)(b) ¿ employer does not have proper ppes such as n95 or level 3 masks.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C-1703102","T8CCR 3203(a)- The use of face masks amongst employees is not being enforced as well as parents entering the facility. Temperature screenings for students are not being conducted (0-5 years of age). There are around 19-21 students per classroom. Procedures have not been implemented to reduce the amount of kids per classroom to ensure a minimum of 6 feet distance. There is no possibility of getting natural ventilation because the windows have no openings.","t8ccr 3203(a)- the use of face masks amongst employees is not being enforced as well as parents entering the facility. temperature screenings for students are not being conducted (0-5 years of age). there are around 19-21 students per classroom. procedures have not been implemented to reduce the amount of kids per classroom to ensure a minimum of 6 feet distance. there is no possibility of getting natural ventilation because the windows have no openings.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"C-1567486","T8CCR 5199 Personal Protective Equipment are not provided by employer. Emloyees are working with patients with positive Covid-19. Two patients died this week.","t8ccr 5199 personal protective equipment are not provided by employer. emloyees are working with patients with positive covid-19. two patients died this week.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C-1710142","Employees not wearing face masks as required for COVID-19 emergency rule R614-1-5(F).","employees not wearing face masks as required for covid-19 emergency rule r614-1-5(f).",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C-1606087","1.) The employer is not requiring employees to use face masks for the protection from, and prevention of COVID-19. Additionally, customers are not required to wear to wear face masks when entering the restaurant.","1.) the employer is not requiring employees to use face masks for the protection from, and prevention of covid-19. additionally, customers are not required to wear to wear face masks when entering the restaurant.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"C-1859544","1. 3205: Employees are not following masking requirements for COVID-19.","1. 3205: employees are not following masking requirements for covid-19.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C-1735726","1. Employees do not wear a mask at work. Two being the owners and six being managers or administrators. 2. There are no gloves on site to wear when handling the cannabis. 3. There is a lack of social distance and face protection/mask.","1. employees do not wear a mask at work. two being the owners and six being managers or administrators. 2. there are no gloves on site to wear when handling the cannabis. 3. there is a lack of social distance and face protection/mask.",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C-1628837","The employer is not implementing CDC Guidelines to protect the employees from the COVID-19 virus through: - Poor cleaning/disinfecting processes at the work spaces where employees tested positive to the virus and - Lack of enforcing the use of the masks. - No keeping the social distance of 6 ft. - No encouraging the employees who have symptoms, notify their supervisor and stay home until the criteria to discontinue home isolation are met, in consultation with their healthcare provider.","the employer is not implementing cdc guidelines to protect the employees from the covid-19 virus through: - poor cleaning/disinfecting processes at the work spaces where employees tested positive to the virus and - lack of enforcing the use of the masks. - no keeping the social distance of 6 ft. - no encouraging the employees who have symptoms, notify their supervisor and stay home until the criteria to discontinue home isolation are met, in consultation with their healthcare provider.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"C-1740507","1. The employer is not enforcing face masks for employees and customers.","1. the employer is not enforcing face masks for employees and customers.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"C-1763957","1. T8 CCR § 3205(c)(6)(A) - Employer not enforcing physical distancing protocol in the workplace. 2. T8 CCR § 3205(c)(7)(A) - Employer not enforcing face coverings mandate in the workplace. Employees concerned with potential exposure to COVID-19 in the workplace.","1. t8 ccr § 3205(c)(6)(a) - employer not enforcing physical distancing protocol in the workplace. 2. t8 ccr § 3205(c)(7)(a) - employer not enforcing face coverings mandate in the workplace. employees concerned with potential exposure to covid-19 in the workplace.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"C-1559707","Management withholding necessary protective supplies from staff, i.e. N95 masks regular masks and personal protective equipment, to minimize exposure to coronavirus. In your response, please provide information on how you are addressing social distancing, following local guidance on reducing number of people in a space, disinfection practices, and training for your employees.","management withholding necessary protective supplies from staff, i.e. n95 masks regular masks and personal protective equipment, to minimize exposure to coronavirus. in your response, please provide information on how you are addressing social distancing, following local guidance on reducing number of people in a space, disinfection practices, and training for your employees.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C-1603346","1. Management is not enforcing the use of masks where social distancing is not possible. 2. The facility is not being thoroughly cleaned and disinfected following 3 positive COVID19 tests.","1. management is not enforcing the use of masks where social distancing is not possible. 2. the facility is not being thoroughly cleaned and disinfected following 3 positive covid19 tests.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"C-1709327","1. Employees are not being protected from potential exposure to COVID-19. 2. Employees are not provided with or required to wear proper personal protective equipment.","1. employees are not being protected from potential exposure to covid-19. 2. employees are not provided with or required to wear proper personal protective equipment.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"C-1646280","Employees are required to enter homes of patients where individuals have tested positive for COVID 19 and the employer has only provided employees with one disposable surgical mask since March. Personal protective equipment such as gowns and face shields are not provided.","employees are required to enter homes of patients where individuals have tested positive for covid 19 and the employer has only provided employees with one disposable surgical mask since march. personal protective equipment such as gowns and face shields are not provided.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C-1571340","1. Employer not providing hand sanitizer. 2. Employer not enforcing social distancing. 3. Employer not disinfecting/deep cleaning work place. 4. Employer not providing PPE such as gloves, masks, face shields, etc. 5. Business operating even though business classified as nonessential.","1. employer not providing hand sanitizer. 2. employer not enforcing social distancing. 3. employer not disinfecting/deep cleaning work place. 4. employer not providing ppe such as gloves, masks, face shields, etc. 5. business operating even though business classified as nonessential.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C-1587722","Employees can't practice social distance while training new employees. Employer not providing personal protective equipment to employees. However employer providing misleading information on COVID-19 to employees.","employees can't practice social distance while training new employees. employer not providing personal protective equipment to employees. however employer providing misleading information on covid-19 to employees.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C-1654767","T8CCR§3203(a) Employer not enforcing 6 ft. social distancing for employees regarding COVID-19 prevention. Surfaces touched by multiple people are not being disinfected and cleaned regularly. Workers and customers do not wear masks at all times. Employees' temperatures not being taken at start of work shift.","t8ccr§3203(a) employer not enforcing 6 ft. social distancing for employees regarding covid-19 prevention. surfaces touched by multiple people are not being disinfected and cleaned regularly. workers and customers do not wear masks at all times. employees' temperatures not being taken at start of work shift.",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C-1644164","1. T8 CCR § 3203(a)(2) ¿ Face coverings not enforced by Employer in the workplace. Employees concerned with potential exposure to Covid-19. 2. T8 CCR § 3203(a)(6) ¿ Employer not enforcing social distancing in the workplace.","1. t8 ccr § 3203(a)(2) ¿ face coverings not enforced by employer in the workplace. employees concerned with potential exposure to covid-19. 2. t8 ccr § 3203(a)(6) ¿ employer not enforcing social distancing in the workplace.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"C-1608843","1. The employer does not have a written return to work plan for COVID-19. The employer is not enforcing the use of masks. Employees are not social distancing.","1. the employer does not have a written return to work plan for covid-19. the employer is not enforcing the use of masks. employees are not social distancing.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"C-1647508","The Employer is not enforcing social distancing so that employees stay at least six-feet apart to reduce their potential exposure to the COVID-19 virus. For employee workstations that are less than 6-feet apart, the Employer has installed partitions between the workstations that are too low to be effective in preventing the possible spread of the virus. California Code of Regulations, Title 8, Section 3380. Personal Protective Devices. The Employer does not enforce the use of face coverings inside the offices. For instance, some Managers refuse to wear face coverings inside the building. Complainant notes: As of the week of 7-13-20, all EEs have been ordered to work from home. However, prior to this stay at home order, ER did not enforce social distancing and PPE per above. Complainant would like to file this complaint so the workplace will be safer when the stay at home order is lifted.","the employer is not enforcing social distancing so that employees stay at least six-feet apart to reduce their potential exposure to the covid-19 virus. for employee workstations that are less than 6-feet apart, the employer has installed partitions between the workstations that are too low to be effective in preventing the possible spread of the virus. california code of regulations, title 8, section 3380. personal protective devices. the employer does not enforce the use of face coverings inside the offices. for instance, some managers refuse to wear face coverings inside the building. complainant notes: as of the week of 7-13-20, all ees have been ordered to work from home. however, prior to this stay at home order, er did not enforce social distancing and ppe per above. complainant would like to file this complaint so the workplace will be safer when the stay at home order is lifted.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"C-1621938","Alleged Hazards: 1. Employees were assigned to disinfect and clean the rooms because of COVID-19. Employees are not provided with masks or gloves. The owner said whoever wanted PPE needed to buy it themselves. 2. The employer received money from the government to hire an outside company to come and do COVID-19 disinfection for COVID but instead has housekeepers do it. 3. Employer does not pay overtime.","alleged hazards: 1. employees were assigned to disinfect and clean the rooms because of covid-19. employees are not provided with masks or gloves. the owner said whoever wanted ppe needed to buy it themselves. 2. the employer received money from the government to hire an outside company to come and do covid-19 disinfection for covid but instead has housekeepers do it. 3. employer does not pay overtime.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C-1689746","1. Employees not wearing masks and not wearing masks over nose.","1. employees not wearing masks and not wearing masks over nose.",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C-1736972","Employees not wearing face masks as required for COVID-19 Emergency Rule R614-1-5(F)","employees not wearing face masks as required for covid-19 emergency rule r614-1-5(f)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C-1633104","1. The employer is refusing to send employees personal protective equipment that does not fit to prevent the spread of COVID-19 in the workplace. 2. The employer is writing employees up for not wearing equipment (gloves) as they do not fit properly.","1. the employer is refusing to send employees personal protective equipment that does not fit to prevent the spread of covid-19 in the workplace. 2. the employer is writing employees up for not wearing equipment (gloves) as they do not fit properly.",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"C-1629701","1. Employees are exposed to health hazards associated with COVID-19 (coronavirus) in that the employer does not require employees and visitors to wear masks per CDC (Center for Disease Control and Prevention) guidelines. 2. The employer failed to ensure employees were practicing social distancing, maintaining six (6) feet distance, between persons within the facility or wear cloth face coverings when other social distancing measures are difficult to maintain as in accordance to CDC guidelines for the COVID-19 pandemic. 3. The employer failed to provide proper personal protective equipment (PPE) such as but not limited to mask/face-covering to employees potentially exposed to respiratory infectious diseases.","1. employees are exposed to health hazards associated with covid-19 (coronavirus) in that the employer does not require employees and visitors to wear masks per cdc (center for disease control and prevention) guidelines. 2. the employer failed to ensure employees were practicing social distancing, maintaining six (6) feet distance, between persons within the facility or wear cloth face coverings when other social distancing measures are difficult to maintain as in accordance to cdc guidelines for the covid-19 pandemic. 3. the employer failed to provide proper personal protective equipment (ppe) such as but not limited to mask/face-covering to employees potentially exposed to respiratory infectious diseases.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"C-1632804","1) The employer failed to ensure employees were practicing social distancing, maintaining six (6) feet distance, between persons within the facility or wear cloth face coverings when other social distancing measures are difficult to maintain as in accordance to CDC guidelines for the COVID-19 pandemic. 2) Employees are exposed to health hazards associated with COVID-19 in that the employer does not require employees and visitors to wear masks per CDC (Center for Disease Control and Prevention) guidelines. 3) The employer requires employees to come to work that have received advisement from a healthcare professional to quarantine for COVID-19; exposing employees to infectious diseases in the facility.","1) the employer failed to ensure employees were practicing social distancing, maintaining six (6) feet distance, between persons within the facility or wear cloth face coverings when other social distancing measures are difficult to maintain as in accordance to cdc guidelines for the covid-19 pandemic. 2) employees are exposed to health hazards associated with covid-19 in that the employer does not require employees and visitors to wear masks per cdc (center for disease control and prevention) guidelines. 3) the employer requires employees to come to work that have received advisement from a healthcare professional to quarantine for covid-19; exposing employees to infectious diseases in the facility.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"C-1619269","1. The employer is not ensuring that social distancing measures are being adequately followed for COVID-19, such as employees are working in groups of 5-6 in the prep-room and are not able to maintain a 6 foot distance. 2. Employees are not required to wear gloves when handling customers personal belonging such as phones and credit cards. 3. The employer only has two plastic face shields available for employee use, and they are not being cleaned between use. 4. The employer is not following State of New York COVID-19 requirements by not requiring customers to wear face masks when not maintaining a 6 foot distance. 5. Employees have been told to follow COVID-19 safety precautions until it starts affecting business, such as when customer lines are getting too long. 6. The employer has not installed any physical barriers to protect employees from customers.","1. the employer is not ensuring that social distancing measures are being adequately followed for covid-19, such as employees are working in groups of 5-6 in the prep-room and are not able to maintain a 6 foot distance. 2. employees are not required to wear gloves when handling customers personal belonging such as phones and credit cards. 3. the employer only has two plastic face shields available for employee use, and they are not being cleaned between use. 4. the employer is not following state of new york covid-19 requirements by not requiring customers to wear face masks when not maintaining a 6 foot distance. 5. employees have been told to follow covid-19 safety precautions until it starts affecting business, such as when customer lines are getting too long. 6. the employer has not installed any physical barriers to protect employees from customers.",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"C-1575077","No social distancing in place No PPE offered to employees","no social distancing in place no ppe offered to employees",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C-1673911","Three Employees observed not wearing face coverings. COVID related.","three employees observed not wearing face coverings. covid related.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C-1627016","1. The office is not providing enough masks for the nurses who assists the doctor. The same mask is worn for an entire week before a new mask is provided to the staff. 2. The doctor tested positive for COVID-19 and is not following the mandated guidelines of self-quarantine. The doctor is still see patients after testing positive for COVID-19 and putting the staff and patients at risk for contracting COVID-19.","1. the office is not providing enough masks for the nurses who assists the doctor. the same mask is worn for an entire week before a new mask is provided to the staff. 2. the doctor tested positive for covid-19 and is not following the mandated guidelines of self-quarantine. the doctor is still see patients after testing positive for covid-19 and putting the staff and patients at risk for contracting covid-19.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C-1564103","Staff being given surgical masks in lieu of N95s and PAPRs for COVID 19 patients.","staff being given surgical masks in lieu of n95s and paprs for covid 19 patients.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C-1644172","1. T8 CCR § 3362 - Employer not cleaning equipment regularly. 2. T8 CCR § 3380 - Employer not providing Personal Protective Equipment (PPE) to employees. Employees concerned with potential exposure to Covid-19 in the workplace.","1. t8 ccr § 3362 - employer not cleaning equipment regularly. 2. t8 ccr § 3380 - employer not providing personal protective equipment (ppe) to employees. employees concerned with potential exposure to covid-19 in the workplace.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C-1856665","1. Employees in the Lower 5 Unit do not have access to a proper area to change and dispose of personal protective equipment. 2. Employees, including float staff, are exposed to active cases of COVID-19 when they are assigned to clean and sanitize rooms without proper PPE.","1. employees in the lower 5 unit do not have access to a proper area to change and dispose of personal protective equipment. 2. employees, including float staff, are exposed to active cases of covid-19 when they are assigned to clean and sanitize rooms without proper ppe.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C-1591381","1) The employer is not addressing COVID-19 per CDC guidelines. 2) An aide tested positive for COVID and was permitted to work without restrictions. 3) The supervisor did not issue face masks to staff - just held them for four weeks in office. 4) Employees are not supplied with face shields or N95 face mask type respirators. 5) There is no cleaning staff.","1) the employer is not addressing covid-19 per cdc guidelines. 2) an aide tested positive for covid and was permitted to work without restrictions. 3) the supervisor did not issue face masks to staff - just held them for four weeks in office. 4) employees are not supplied with face shields or n95 face mask type respirators. 5) there is no cleaning staff.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C-1572188","1. Employer not enforcing social distancing. 2. Employer not providing PPE such as gloves, masks, face shields, etc. 3. The employer has the ability to provide business operations employees with the ability to work remotely and will not provide opportunity equally to all departments.","1. employer not enforcing social distancing. 2. employer not providing ppe such as gloves, masks, face shields, etc. 3. the employer has the ability to provide business operations employees with the ability to work remotely and will not provide opportunity equally to all departments.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C-1580776","1. The employer is not following CDC guidelines for increased cleaning and sanitizing of the facility after employees and residents have tested positive for Covid-19 and are not following social distancing CDC guidelines. Applicable OSHA standard(s): Section 5(a)(1) General Duty Clause of the Occupational Safety and Health Act of 1970, 1910.141 2. The employer is not following CDC guidelines for providing employees with N95 respirators after employees and residents have tested positive for Covid-19. Applicable OSHA standard(s): Section 5(a)(1) General Duty Clause of the Occupational Safety and Health Act of 1970, 1910.141, 1910.132, 1910.138","1. the employer is not following cdc guidelines for increased cleaning and sanitizing of the facility after employees and residents have tested positive for covid-19 and are not following social distancing cdc guidelines. applicable osha standard(s): section 5(a)(1) general duty clause of the occupational safety and health act of 1970, 1910.141 2. the employer is not following cdc guidelines for providing employees with n95 respirators after employees and residents have tested positive for covid-19. applicable osha standard(s): section 5(a)(1) general duty clause of the occupational safety and health act of 1970, 1910.141, 1910.132, 1910.138",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C-1668403","1. Employees are exposed to health hazards associated with COVID-19. It was reported that the facility is not cleaned and/or disinfected in accordance with CDC guidelines. Contrary to Section 5(a)1 of the OSH Act. 2. Employees are exposed to health hazards associated with COVID-19. It was reported that social distancing and the use/enforcement of masks are not implemented at the facility in accordance with CDC guidelines. Contrary to Section 5(a)1 of the OSH Act. 3. Employees are exposed to health hazards associated with COVID-19. It was reported that employees have tested positive and are continuing to work. It was reported that CDC guidelines are not being followed to reduce exposure to COVID-19. Contrary to Section 5(a)1 of the OSH Act.","1. employees are exposed to health hazards associated with covid-19. it was reported that the facility is not cleaned and/or disinfected in accordance with cdc guidelines. contrary to section 5(a)1 of the osh act. 2. employees are exposed to health hazards associated with covid-19. it was reported that social distancing and the use/enforcement of masks are not implemented at the facility in accordance with cdc guidelines. contrary to section 5(a)1 of the osh act. 3. employees are exposed to health hazards associated with covid-19. it was reported that employees have tested positive and are continuing to work. it was reported that cdc guidelines are not being followed to reduce exposure to covid-19. contrary to section 5(a)1 of the osh act.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"C-1831771","1) PPE not provided to perform the job 2) No drinking water available on site 3) Lack of proper face coverings to prevent COVID-19 infection","1) ppe not provided to perform the job 2) no drinking water available on site 3) lack of proper face coverings to prevent covid-19 infection",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C-1600656","1. Employees work with COVID-19 positive patients and are not provided with PPE. They are given 1 surgical mask to wear for the week. 2. Employer states employees do not need N-95 respirator, gowns, or face shields.","1. employees work with covid-19 positive patients and are not provided with ppe. they are given 1 surgical mask to wear for the week. 2. employer states employees do not need n-95 respirator, gowns, or face shields.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C-1581706","1. Employees have now been told there is a COVID-19 positive resident. 2. An email sent to employees by management 2 days prior saying that what was published about 3 positive cases was false information, when they did not have a negative test yet for those residents. 3. We were told in the same email that an employee had called to tell management they tested positive. The employee did not wear a mask at all times and came in contact with many residents as well as employees. 4. We are only given 1 paper face mask per week.","1. employees have now been told there is a covid-19 positive resident. 2. an email sent to employees by management 2 days prior saying that what was published about 3 positive cases was false information, when they did not have a negative test yet for those residents. 3. we were told in the same email that an employee had called to tell management they tested positive. the employee did not wear a mask at all times and came in contact with many residents as well as employees. 4. we are only given 1 paper face mask per week.",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C-1581615","1. Employer not enforcing social distancing. 2. Employer not disinfecting/deep cleaning work place. 3. Employer not providing PPE such as gloves, masks, face shields, etc. 4. Business operating even though business classified as nonessential.","1. employer not enforcing social distancing. 2. employer not disinfecting/deep cleaning work place. 3. employer not providing ppe such as gloves, masks, face shields, etc. 4. business operating even though business classified as nonessential.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
